"Date","Close","Open","High","Low","Vol","Percentage Change"
"04/05/2007","947.19","941.14","947.19","941.14","4.47K","1.04%"
"03/05/2007","937.46","939.02","941.03","937.46","5.41K","0.21%"
"02/05/2007","935.48","933.30","935.48","933.30","7.69K","1.25%"
"25/04/2007","923.89","903.94","923.89","903.94","8.36K","2.03%"
"24/04/2007","905.53","907.47","907.65","905.53","6.03K","-2.75%"
"23/04/2007","931.18","940.58","940.58","931.18","5.75K","-3.89%"
"20/04/2007","968.88","981.95","981.95","968.88","5.09K","-2.93%"
"19/04/2007","998.09","1,015.10","1,015.10","998.09","8.99K","-0.30%"
"18/04/2007","1,001.12","979.86","1,001.12","979.86","4.31K","3.67%"
"17/04/2007","965.72","968.96","968.96","965.72","6.68K","-1.76%"
"16/04/2007","983.00","998.14","998.14","983.00","5.51K","-2.96%"
"13/04/2007","1,012.98","1,026.40","1,026.40","1,012.98","6.69K","-1.42%"
"12/04/2007","1,027.58","1,031.21","1,031.21","1,027.58","4.63K","-0.69%"
"11/04/2007","1,034.68","1,037.16","1,037.25","1,034.68","4.26K","-0.48%"
"10/04/2007","1,039.67","1,044.90","1,044.90","1,039.67","6.14K","-0.16%"
"09/04/2007","1,041.36","1,041.29","1,041.36","1,039.98","6.02K","0.72%"
"06/04/2007","1,033.92","1,033.77","1,033.92","1,032.64","7.97K","-1.44%"
